"file_name","core_name","rdata_file_name","CLASSIFICATION","YEAR","Key","Type","Value"
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","address_n","Count",115
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","AGE_RANGE_DFS","00 - 04",17744
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","AGE_RANGE_DFS","05 - 09",13024
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","AGE_RANGE_DFS","10 - 14",10863
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","AGE_RANGE_DFS","15 - 19",7012
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","AGE_RANGE_DFS","20 - 24",2303
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","AGE_RANGE_DFS","25 - 29",3129
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","AGE_RANGE_DFS","30 - 34",3664
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","AGE_RANGE_DFS","35 - 39",4384
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","AGE_RANGE_DFS","40 - 44",4877
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","AGE_RANGE_DFS","45 - 49",5796
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","AGE_RANGE_DFS","50 - 54",7328
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","AGE_RANGE_DFS","55 - 59",7874
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","AGE_RANGE_DFS","60 - 64",7162
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","BEN_ID_n","Count",28768
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","CLAIM_GUID_n","Count",95141
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","Distance","1st Qu.",9.54
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","Distance","3rd Qu.",45.03
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","Distance","Max.",4391.04
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","Distance","Mean",52.98
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","Distance","Median",23.93
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","Distance","Min.",0.08
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","Distance","NA's",876
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","Duration","1st Qu.",11
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","Duration","3rd Qu.",44.54
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","Duration","Max.",2917.73
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","Duration","Mean",44.9
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","Duration","Median",23.79
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","Duration","Min.",0.25
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","Duration","NA's",876
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","GENDER","F",49153
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","GENDER","M",46007
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","NPI_n","Count",117
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","RACE","Black",4708
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","RACE","Not Provided",15381
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","RACE","Other",1481
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","RACE","White",73590
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","row_n","Count",249279
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","zip_add_combination_n","Count",2287
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","ZIP_n","Count",745
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","address_n","Count",130
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","AGE_RANGE_DFS","00 - 04",17139
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","AGE_RANGE_DFS","05 - 09",11763
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","AGE_RANGE_DFS","10 - 14",9693
